,Make & Model,Price,Depreciation,Reg Date,Mileage,Vechical Type
290,Mercedes-Benz GLC-Class GLC250 AMG Line 4MATIC,"$208,800.00","$19,010 /yr",11-Aug-2020,"14,600 km",SUV
291,BMW 5 Series 523i (COE till 01/2031),"$76,800.00","$7,850 /yr",20-Jan-2011,"145,000 km",Luxury
292,Audi A3 Sedan 1.4A TFSI Ambiente,"$63,800.00","$12,040 /yr",21-Sep-2015,"91,000 km",Luxury
293,Honda Civic 1.6A VTi-S,"$59,800.00","$10,400 /yr",14-Dec-2015,"88,123 km",Sedan
294,BMW 3 Series 318i Sunroof (New 10-yr COE),"$80,888.00","$8,080 /yr",25-Apr-2011,"133,000 km",Luxury
295,Audi A3 Sedan 1.4A TFSI Attraction,"$72,800.00","$11,630 /yr",20-Oct-2016,"32,000 km",Luxury
296,Honda Vezel 1.5A X,"$59,000.00","$9,230 /yr",23-Jan-2017,"136,000 km",SUV
298,Mazda 3 1.5A Deluxe,"$55,988.00","$9,410 /yr",11-Aug-2016,"59,000 km",Sedan
299,Volkswagen Golf 1.2A TSI,"$64,800.00","$9,560 /yr",16-Aug-2017,"56,000 km",Hatchback
301,Honda City 1.5A i-VTEC (New 5-yr COE),"$37,800.00","$7,560 /yr",25-Apr-2011,"93,000 km",Sedan
302,Subaru Forester 2.0X (COE till 08/2028),"$48,800.00","$6,630 /yr",22-Aug-2008,"151,500 km",SUV
303,Mercedes-Benz E-Class E250,"$68,800.00","$18,460 /yr",21-Jun-2013,"110,000 km",Luxury
304,Hyundai Elantra 1.6A,"$46,800.00","$8,840 /yr",06-Nov-2015,"77,000 km",Sedan
305,Toyota Sienta 1.5A Elegance,"$80,800.00","$9,420 /yr",30-Oct-2018,"23,000 km",MPV
306,Nissan Qashqai 1.2A DIG-T,"$78,800.00","$9,920 /yr",15-Mar-2018,"85,000 km",SUV
307,Honda Fit 1.3A G F-Package,"$58,800.00","$9,200 /yr",25-May-2017,"30,000 km",Hatchback
308,Hyundai Sonata 2.0A GLS,"$58,800.00","$9,780 /yr",26-Apr-2016,"87,000 km",Luxury
309,BMW 5 Series 535i Sunroof (COE till 07/2030),"$91,800.00","$9,930 /yr",09-Jul-2010,"96,000 km",Luxury
310,Mercedes-Benz E-Class E250,"$44,800.00","$23,180 /yr",18-Jan-2012,"140,000 km",Luxury
311,BMW 5 Series 523i (COE till 12/2030),"$79,800.00","$8,240 /yr",15-Dec-2010,"99,000 km",Luxury
312,Honda Vezel 1.5A X,"$83,800.00","$9,540 /yr",12-Apr-2019,"28,000 km",SUV
313,Mercedes-Benz C-Class C180K (New 10-yr COE),"$82,800.00","$8,280 /yr",13-Jan-2012,"86,000 km",Luxury
314,Volkswagen Scirocco GP 1.4A TSI,"$64,888.00","$11,620 /yr",14-Jan-2016,"71,000 km",Sports
